MUN,LOC,REFUGIO,FECHA_OP,VAMP,VAMP_TX,LATITUD,LONG
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del frijol,22/02/08,4,4,18.885331,-100.319167
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del frijol,22/10/08,0,0,18.885331,-100.319167
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del frijol,18/09/09,4,1,18.885331,-100.319167
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva del frijol,01/12/10,0,0,18.885331,-100.319167
Malinalco,Puente Caporal (La Guancha),Cueva ceiba maria,06/12/12,4,3,18.885781,-99.452592
Malinalco,Ejido de Chalma,Cueva el Rio,09/07/14,32,32,18.885781,-99.452592
Luvianos,La Antena (Nariz del Cerro),Mina del tiro hondo,06/06/12,0,0,18.885806,-100.285778
Luvianos,Calaveras,Los aguacatillos,04/08/05,7,6,18.887472,-100.285000
Luvianos,Calaveras,Los aguacatillos,16/01/06,0,0,18.887472,-100.285000
Luvianos,Calaveras,Ceiba amarilla,04/07/06,4,4,18.887472,-100.285278
Luvianos,Calaveras,Ceiba amarilla,02/01/07,6,5,18.887472,-100.285278
Luvianos,Calaveras,Los aguacatillos,16/10/07,8,7,18.887472,-100.285000
Luvianos,Calaveras,Ceiba amarilla,26/03/08,3,2,18.887472,-100.285278
Luvianos,Calaveras,Ceiba amarilla,23/10/08,0,0,18.887472,-100.285278
Luvianos,Calaveras,Ceiba amarilla,09/06/09,5,4,18.887472,-100.285278
Luvianos,Calaveras,Los aguacatillos,18/07/09,5,4,18.887472,-100.285000
Luvianos,Calaveras,Ceiba amarilla,28/09/11,3,1,18.887472,-100.285278
Luvianos,Calaveras,Ceiba amarilla,26/01/12,1,1,18.887472,-100.285278
Luvianos,Calaveras,Ceiba amarilla,15/05/12,5,3,18.887472,-100.285278
Luvianos,El Estanco,Las parotas,18/06/12,0,0,18.889250,-100.259639
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva el jocoyol ,22/04/06,3,3,18.889778,-100.300667
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva el jocoyol ,30/08/07,10,9,18.889778,-100.300667
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva el jocoyol ,24/10/08,0,0,18.889778,-100.300667
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva el jocoyol ,10/07/09,8,8,18.889778,-100.300667
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva el jocoyol ,13/11/09,4,4,18.889778,-100.300667
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva el jocoyol ,10/07/10,7,4,18.889778,-100.300667
Luvianos,San Sebastian (Rincon de San Sebastian),Cueva el jocoyol ,17/09/12,0,0,18.889778,-100.300667
Tejupilco,Cuadrilla de Leones,Cueva Cuadrilla deLeones,28/03/12,2,1,18.894167,-100.208750
Malinalco,Puente Caporal (La Guancha),El repartidor,23/07/12,41,38,18.895250,-99.464806
Luvianos,San Sebastian ,Cueva el nogal ,20/07/13,8,8,18.900456,-100.317692
Luvianos,San Sebastian ,Cueva el nogal,24/01/14,12,12,18.900456,-100.317692
Luvianos,San Sebastian,Cueva la Presa,29/03/14,11,11,18.900517,-100.317581
Malinalco,Puente Caporal (La Guancha),Cueva el murciÈlago,01/12/12,5,3,18.900944,-99.450972
Luvianos,Los Pericones (Rancheria los Pericones),El carrizal,07/02/12,2,2,18.905167,-100.471583
Luvianos,Rincon de  Alambre,Cueva el nogal,11/08/05,2,2,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,14/02/07,1,1,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,16/10/07,0,0,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,25/05/08,0,0,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,04/11/08,0,0,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,23/10/09,6,6,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,06/11/10,4,3,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,06/11/10,4,3,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,29/04/11,3,3,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,29/04/11,3,3,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,15/02/12,3,3,18.905944,-100.322639
Luvianos,Rincon de  Alambre,Cueva el nogal,15/02/12,3,3,18.905944,-100.322639
Luvianos,El Naranjito de Nanchichitla,Rancho el Naranjo,24/02/14,7,7,18.916864,-100.400414
Luvianos,Los Bancos,Ceiba blanca,16/05/05,0,0,18.918967,-100.368547
Luvianos,Los Bancos,Ceiba blanca,16/07/07,7,7,18.918967,-100.368547
Luvianos,Los Bancos,Ceiba blanca,21/04/08,0,0,18.918967,-100.368547
Luvianos,Los Bancos,Ceiba blanca,05/06/09,6,5,18.918967,-100.368547
Luvianos,Los Bancos,Cueva del chachalaco,21/04/05,5,4,18.920806,-100.370278
Luvianos,Paso del Agua (Cristo Rey),Piedra colorada,22/05/05,6,4,18.920806,-100.352764
Luvianos,Paso del Agua (Cristo Rey),Piedra colorada,10/04/06,0,0,18.920806,-100.352764
Luvianos,Los Bancos,Cueva del chachalaco,28/07/06,0,0,18.920806,-100.370278
Luvianos,Los Bancos,Cueva del chachalaco,30/08/07,10,9,18.920806,-100.370278
Luvianos,Paso del Agua (Cristo Rey),Piedra colorada,16/10/07,0,0,18.920806,-100.352764
Luvianos,Paso del Agua (Cristo Rey),Piedra colorada,11/04/08,0,0,18.920806,-100.352764
Luvianos,Los Bancos,Cueva del chachalaco,21/04/08,0,0,18.920806,-100.370278
Luvianos,Paso del Agua (Cristo Rey),Piedra colorada,11/06/09,5,5,18.920806,-100.352764
Luvianos,Los Bancos,Cueva del chachalaco,11/06/09,9,8,18.920806,-100.370278
Luvianos,Los Bancos,Cueva del chachalaco,19/08/11,8,6,18.920806,-100.370278
Tejupilco,Rincon de Lopez,Casa particular,01/06/12,0,0,18.924583,-100.145306
Luvianos,Paso del Agua (Cristo Rey),Cueva el murciÈlago,13/10/14,6,6,18.926389,-100.351550
Luvianos,El Manguito,Magadan,19/09/12,0,0,18.931083,-100.376917
